"date","dewey_nom","n"
"1655","Religion",8
"1655","Sciences",3
"1655","Techniques",2
"1656","Économie et société",7
"1656","Généralités",1
"1656","Histoire et géographie",5
"1656","Langues",1
"1656","Littérature",16
"1656","Religion",9
"1656","Techniques",1
"1657","Économie et société",9
"1657","Histoire et géographie",2
"1657","Langues",1
"1657","Littérature",18
"1657","Philosophie et psychologie",5
"1657","Religion",8
"1657","Sciences",1
"1658","Arts et loisirs",5
"1658","Économie et société",4
"1658","Généralités",1
"1658","Histoire et géographie",4
"1658","Littérature",5
"1658","N/A",1
"1658","Philosophie et psychologie",2
"1658","Religion",2
"1658","Techniques",2
"1659","Arts et loisirs",2
"1659","Économie et société",6
"1659","Généralités",2
"1659","Histoire et géographie",7
"1659","Langues",2
"1659","Littérature",18
"1659","Philosophie et psychologie",1
"1659","Religion",5
"1660","Arts et loisirs",1
"1660","Économie et société",8
"1660","Histoire et géographie",10
"1660","Langues",2
"1660","Littérature",36
"1660","N/A",1
"1660","Philosophie et psychologie",1
"1660","Religion",8
"1661","Économie et société",13
"1661","Histoire et géographie",9
"1661","Littérature",21
"1661","Philosophie et psychologie",1
"1661","Religion",9
"1661","Sciences",1
"1661","Techniques",1
"1662","Arts et loisirs",1
"1662","Économie et société",8
"1662","Généralités",5
"1662","Histoire et géographie",7
"1662","Littérature",13
"1662","Philosophie et psychologie",2
"1662","Religion",3
"1663","Arts et loisirs",1
"1663","Économie et société",10
"1663","Généralités",2
"1663","Histoire et géographie",9
"1663","Langues",2
"1663","Littérature",17
"1663","Philosophie et psychologie",1
"1663","Religion",7
"1663","Sciences",2
"1664","Arts et loisirs",1
"1664","Économie et société",7
"1664","Histoire et géographie",15
"1664","Langues",1
"1664","Littérature",10
"1664","Philosophie et psychologie",7
"1664","Religion",12
"1664","Sciences",1
"1664","Techniques",2
"1665","Arts et loisirs",4
"1665","Économie et société",8
"1665","Histoire et géographie",5
"1665","Littérature",12
"1665","N/A",1
"1665","Philosophie et psychologie",2
"1665","Religion",6
"1665","Sciences",3
"1665","Techniques",1
"1666","Arts et loisirs",1
"1666","Économie et société",9
"1666","Généralités",3
"1666","Histoire et géographie",7
"1666","Langues",1
"1666","Littérature",13
"1666","N/A",1
"1666","Philosophie et psychologie",6
"1666","Religion",10
"1666","Sciences",2
"1666","Techniques",1
"1667","Économie et société",5
"1667","Généralités",2
"1667","Histoire et géographie",9
"1667","Littérature",13
"1667","N/A",2
"1667","Philosophie et psychologie",2
"1667","Religion",3
"1667","Sciences",15
"1667","Techniques",3
"1668","Arts et loisirs",2
"1668","Économie et société",6
"1668","Généralités",2
"1668","Histoire et géographie",5
"1668","Langues",1
"1668","Littérature",14
"1668","N/A",1
"1668","Philosophie et psychologie",6
"1668","Religion",12
"1668","Sciences",1
"1668","Techniques",5
"1669","Arts et loisirs",1
"1669","Économie et société",34
"1669","Généralités",1
"1669","Histoire et géographie",4
"1669","Littérature",5
"1669","Religion",4
"1669","Sciences",3
"1669","Techniques",1
"1670","Arts et loisirs",3
"1670","Économie et société",3
"1670","Généralités",1
"1670","Histoire et géographie",4
"1670","Langues",1
"1670","Littérature",13
"1670","Religion",11
"1671","Arts et loisirs",3
"1671","Économie et société",7
"1671","Histoire et géographie",3
"1671","Littérature",19
"1671","N/A",1
"1671","Philosophie et psychologie",3
"1671","Religion",13
"1671","Sciences",3
"1672","Arts et loisirs",3
"1672","Économie et société",4
"1672","Histoire et géographie",3
"1672","Langues",2
"1672","Littérature",27
"1672","N/A",1
"1672","Philosophie et psychologie",2
"1672","Religion",4
"1672","Sciences",3
"1673","Arts et loisirs",5
"1673","Économie et société",4
"1673","Histoire et géographie",6
"1673","Littérature",30
"1673","Philosophie et psychologie",3
"1673","Religion",6
"1673","Sciences",1
"1674","Arts et loisirs",2
"1674","Économie et société",3
"1674","Histoire et géographie",9
"1674","Langues",2
"1674","Littérature",23
"1674","Philosophie et psychologie",1
"1674","Religion",8
"1674","Sciences",2
"1675","Arts et loisirs",3
"1675","Économie et société",3
"1675","Généralités",1
"1675","Histoire et géographie",8
"1675","Littérature",8
"1675","Philosophie et psychologie",3
"1675","Religion",12
"1675","Sciences",3
"1675","Techniques",2
"1676","Arts et loisirs",1
"1676","Économie et société",7
"1676","Histoire et géographie",3
"1676","Langues",2
"1676","Littérature",14
"1676","Philosophie et psychologie",3
"1676","Religion",3
"1676","Sciences",2
"1676","Techniques",1
"1677","Arts et loisirs",5
"1677","Économie et société",7
"1677","Histoire et géographie",6
"1677","Langues",1
"1677","Littérature",8
"1677","N/A",1
"1677","Philosophie et psychologie",5
"1677","Religion",10
"1677","Sciences",2
"1677","Techniques",1
"1678","Arts et loisirs",1
"1678","Économie et société",10
"1678","Histoire et géographie",5
"1678","Littérature",13
"1678","Philosophie et psychologie",9
"1678","Religion",4
"1678","Sciences",1
"1679","Arts et loisirs",6
"1679","Économie et société",9
"1679","Généralités",2
"1679","Histoire et géographie",2
"1679","Langues",1
"1679","Littérature",8
"1679","Philosophie et psychologie",3
"1679","Religion",11
"1679","Sciences",2
"1680","Économie et société",13
"1680","Généralités",5
"1680","Histoire et géographie",4
"1680","Littérature",12
"1680","N/A",1
"1680","Philosophie et psychologie",1
"1680","Religion",10
"1680","Techniques",2
"1681","Économie et société",5
"1681","Généralités",1
"1681","Histoire et géographie",4
"1681","Langues",2
"1681","Littérature",9
"1681","Religion",11
"1681","Techniques",2
"1682","Arts et loisirs",3
"1682","Économie et société",7
"1682","Généralités",3
"1682","Histoire et géographie",3
"1682","Littérature",13
"1682","Philosophie et psychologie",1
"1682","Religion",7
"1682","Sciences",4
"1682","Techniques",1
"1683","Arts et loisirs",2
"1683","Économie et société",3
"1683","Histoire et géographie",11
"1683","Langues",1
"1683","Littérature",11
"1683","Philosophie et psychologie",1
"1683","Religion",26
"1683","Sciences",5
"1683","Techniques",1
"1684","Arts et loisirs",4
"1684","Économie et société",10
"1684","Généralités",3
"1684","Histoire et géographie",5
"1684","Littérature",12
"1684","Philosophie et psychologie",4
"1684","Religion",19
"1684","Sciences",1
"1685","Économie et société",13
"1685","Histoire et géographie",4
"1685","Littérature",21
"1685","N/A",1
"1685","Philosophie et psychologie",2
"1685","Religion",20
"1685","Sciences",1
"1685","Techniques",2
"1686","Arts et loisirs",1
"1686","Économie et société",7
"1686","Histoire et géographie",4
"1686","Littérature",17
"1686","N/A",3
"1686","Religion",26
"1687","Arts et loisirs",4
"1687","Économie et société",8
"1687","Histoire et géographie",8
"1687","Littérature",10
"1687","N/A",1
"1687","Philosophie et psychologie",3
"1687","Religion",19
"1687","Sciences",2
"1687","Techniques",2
"1688","Arts et loisirs",3
"1688","Économie et société",15
"1688","Généralités",1
"1688","Histoire et géographie",1
"1688","Littérature",23
"1688","N/A",2
"1688","Philosophie et psychologie",7
"1688","Religion",15
"1688","Sciences",3
"1689","Arts et loisirs",2
"1689","Économie et société",11
"1689","Généralités",2
"1689","Histoire et géographie",4
"1689","Littérature",9
"1689","N/A",3
"1689","Philosophie et psychologie",2
"1689","Religion",13
"1689","Sciences",2
"1689","Techniques",2
"1690","Arts et loisirs",1
"1690","Économie et société",13
"1690","Généralités",3
"1690","Histoire et géographie",6
"1690","Langues",1
"1690","Littérature",19
"1690","N/A",2
"1690","Philosophie et psychologie",5
"1690","Religion",21
"1690","Sciences",3
"1690","Techniques",2
"1691","Arts et loisirs",3
"1691","Économie et société",7
"1691","Généralités",1
"1691","Histoire et géographie",5
"1691","Littérature",21
"1691","N/A",2
"1691","Philosophie et psychologie",9
"1691","Religion",17
"1691","Sciences",2
"1692","Économie et société",10
"1692","Généralités",6
"1692","Histoire et géographie",4
"1692","Littérature",22
"1692","N/A",1
"1692","Philosophie et psychologie",1
"1692","Religion",6
"1692","Sciences",1
"1692","Techniques",2
"1693","Arts et loisirs",3
"1693","Économie et société",16
"1693","Généralités",5
"1693","Histoire et géographie",29
"1693","Littérature",15
"1693","N/A",2
"1693","Philosophie et psychologie",2
"1693","Religion",26
"1693","Sciences",8
"1693","Techniques",3
"1694","Arts et loisirs",3
"1694","Économie et société",6
"1694","Généralités",8
"1694","Histoire et géographie",1
"1694","Langues",1
"1694","Littérature",24
"1694","N/A",3
"1694","Philosophie et psychologie",2
"1694","Religion",17
"1694","Sciences",3
"1694","Techniques",1
"1695","Arts et loisirs",2
"1695","Économie et société",7
"1695","Généralités",3
"1695","Histoire et géographie",6
"1695","Langues",3
"1695","Littérature",7
"1695","Philosophie et psychologie",1
"1695","Religion",17
"1695","Sciences",1
"1695","Techniques",2
"1696","Arts et loisirs",8
"1696","Économie et société",4
"1696","Généralités",2
"1696","Histoire et géographie",27
"1696","Langues",1
"1696","Littérature",20
"1696","N/A",1
"1696","Philosophie et psychologie",2
"1696","Religion",11
"1696","Sciences",1
"1696","Techniques",3
"1697","Arts et loisirs",1
"1697","Économie et société",11
"1697","Généralités",4
"1697","Histoire et géographie",9
"1697","Littérature",16
"1697","N/A",1
"1697","Philosophie et psychologie",1
"1697","Religion",25
"1697","Sciences",1
"1697","Techniques",6
"1698","Arts et loisirs",4
"1698","Économie et société",13
"1698","Généralités",2
"1698","Histoire et géographie",5
"1698","Langues",1
"1698","Littérature",19
"1698","Philosophie et psychologie",7
"1698","Religion",17
"1698","Sciences",1
"1698","Techniques",1
"1699","Arts et loisirs",2
"1699","Économie et société",11
"1699","Généralités",10
"1699","Histoire et géographie",7
"1699","Littérature",17
"1699","Philosophie et psychologie",6
"1699","Religion",30
"1699","Sciences",6
"1699","Techniques",1
"1700","Arts et loisirs",5
"1700","Économie et société",10
"1700","Généralités",11
"1700","Histoire et géographie",9
"1700","Langues",1
"1700","Littérature",26
"1700","Religion",30
"1700","Sciences",5
"1700","Techniques",8
"1701","Arts et loisirs",1
"1701","Économie et société",22
"1701","Généralités",4
"1701","Histoire et géographie",11
"1701","Langues",4
"1701","Littérature",26
"1701","N/A",1
"1701","Religion",3
"1701","Sciences",1
"1701","Techniques",4
"1702","Arts et loisirs",3
"1702","Économie et société",17
"1702","Histoire et géographie",8
"1702","Littérature",14
"1702","N/A",1
"1702","Religion",9
"1702","Sciences",4
"1702","Techniques",6
"1703","Arts et loisirs",6
"1703","Économie et société",15
"1703","Généralités",1
"1703","Histoire et géographie",5
"1703","Langues",2
"1703","Littérature",10
"1703","Religion",11
"1703","Sciences",2
"1703","Techniques",4
"1704","Arts et loisirs",1
"1704","Économie et société",13
"1704","Histoire et géographie",1
"1704","Langues",2
"1704","Littérature",28
"1704","N/A",1
"1704","Philosophie et psychologie",1
"1704","Religion",5
"1704","Sciences",5
"1704","Techniques",8
"1705","Arts et loisirs",6
"1705","Économie et société",10
"1705","Histoire et géographie",14
"1705","Langues",2
"1705","Littérature",10
"1705","Religion",8
"1705","Sciences",5
"1705","Techniques",10
"1706","Arts et loisirs",3
"1706","Économie et société",11
"1706","Généralités",1
"1706","Littérature",10
"1706","Religion",9
"1706","Techniques",6
"1707","Arts et loisirs",3
"1707","Économie et société",16
"1707","Généralités",2
"1707","Histoire et géographie",7
"1707","Langues",1
"1707","Littérature",12
"1707","Philosophie et psychologie",1
"1707","Religion",20
"1707","Techniques",4
"1708","Arts et loisirs",3
"1708","Économie et société",8
"1708","Généralités",1
"1708","Histoire et géographie",4
"1708","Langues",1
"1708","Littérature",15
"1708","Philosophie et psychologie",2
"1708","Religion",12
"1708","Sciences",1
"1708","Techniques",6
"1709","Arts et loisirs",2
"1709","Économie et société",14
"1709","Généralités",1
"1709","Histoire et géographie",5
"1709","Littérature",20
"1709","Religion",10
"1709","Sciences",1
"1709","Techniques",4
"1710","Arts et loisirs",5
"1710","Économie et société",16
"1710","Histoire et géographie",7
"1710","Littérature",15
"1710","Religion",7
"1710","Techniques",11
"1711","Arts et loisirs",4
"1711","Économie et société",9
"1711","Généralités",2
"1711","Histoire et géographie",3
"1711","Littérature",12
"1711","Religion",7
"1711","Sciences",1
"1712","Arts et loisirs",3
"1712","Économie et société",17
"1712","Histoire et géographie",6
"1712","Littérature",21
"1712","N/A",1
"1712","Philosophie et psychologie",4
"1712","Religion",6
"1712","Sciences",5
"1712","Techniques",6
"1713","Arts et loisirs",2
"1713","Économie et société",19
"1713","Généralités",1
"1713","Histoire et géographie",3
"1713","Langues",1
"1713","Littérature",14
"1713","N/A",1
"1713","Religion",5
"1713","Sciences",3
"1713","Techniques",4
"1714","Arts et loisirs",6
"1714","Économie et société",44
"1714","Histoire et géographie",2
"1714","Langues",1
"1714","Littérature",20
"1714","N/A",1
"1714","Philosophie et psychologie",1
"1714","Religion",12
"1714","Sciences",3
"1714","Techniques",4
"1715","Arts et loisirs",9
"1715","Économie et société",39
"1715","Généralités",4
"1715","Histoire et géographie",4
"1715","Littérature",26
"1715","Religion",8
"1715","Sciences",1
"1715","Techniques",4
"1716","Arts et loisirs",1
"1716","Économie et société",38
"1716","Généralités",1
"1716","Histoire et géographie",25
"1716","Langues",2
"1716","Littérature",23
"1716","Philosophie et psychologie",1
"1716","Religion",11
"1716","Sciences",4
"1716","Techniques",6
"1717","Arts et loisirs",1
"1717","Économie et société",45
"1717","Histoire et géographie",6
"1717","Langues",1
"1717","Littérature",16
"1717","N/A",1
"1717","Philosophie et psychologie",2
"1717","Religion",10
"1717","Sciences",2
"1717","Techniques",3
"1718","Arts et loisirs",3
"1718","Économie et société",65
"1718","Généralités",3
"1718","Histoire et géographie",16
"1718","Littérature",16
"1718","N/A",1
"1718","Religion",1
"1718","Sciences",2
"1718","Techniques",5
"1719","Arts et loisirs",4
"1719","Économie et société",92
"1719","Généralités",3
"1719","Histoire et géographie",49
"1719","Langues",1
"1719","Littérature",16
"1719","N/A",1
"1719","Philosophie et psychologie",4
"1719","Religion",2
"1719","Sciences",1
"1719","Techniques",4
"1720","Arts et loisirs",3
"1720","Économie et société",80
"1720","Généralités",4
"1720","Histoire et géographie",4
"1720","Littérature",10
"1720","N/A",1
"1720","Religion",3
"1720","Sciences",1
"1720","Techniques",7
"1721","Arts et loisirs",2
"1721","Économie et société",56
"1721","Généralités",3
"1721","Histoire et géographie",8
"1721","Langues",2
"1721","Littérature",21
"1721","N/A",2
"1721","Religion",6
"1721","Sciences",1
"1721","Techniques",8
"1722","Arts et loisirs",5
"1722","Économie et société",41
"1722","Généralités",3
"1722","Histoire et géographie",7
"1722","Langues",2
"1722","Littérature",25
"1722","N/A",1
"1722","Religion",3
"1722","Sciences",1
"1722","Techniques",13
"1723","Arts et loisirs",7
"1723","Économie et société",45
"1723","Généralités",1
"1723","Histoire et géographie",3
"1723","Langues",1
"1723","Littérature",40
"1723","Religion",10
"1723","Sciences",2
"1723","Techniques",8
"1724","Arts et loisirs",4
"1724","Économie et société",75
"1724","Histoire et géographie",14
"1724","Littérature",24
"1724","N/A",1
"1724","Religion",23
"1724","Techniques",6
"1725","Arts et loisirs",8
"1725","Économie et société",54
"1725","Histoire et géographie",17
"1725","Littérature",43
"1725","N/A",4
"1725","Religion",2
"1725","Sciences",6
"1725","Techniques",5
"1726","Arts et loisirs",1
"1726","Économie et société",37
"1726","Histoire et géographie",12
"1726","Langues",2
"1726","Littérature",15
"1726","Religion",2
"1726","Sciences",1
"1726","Techniques",3
"1727","Arts et loisirs",11
"1727","Économie et société",56
"1727","Généralités",4
"1727","Histoire et géographie",14
"1727","Littérature",21
"1727","N/A",2
"1727","Philosophie et psychologie",2
"1727","Religion",2
"1727","Sciences",5
"1727","Techniques",5
"1728","Arts et loisirs",9
"1728","Économie et société",70
"1728","Généralités",3
"1728","Histoire et géographie",4
"1728","Littérature",14
"1728","N/A",1
"1728","Philosophie et psychologie",4
"1728","Religion",5
"1728","Sciences",2
"1728","Techniques",8
"1729","Arts et loisirs",15
"1729","Économie et société",79
"1729","Généralités",2
"1729","Histoire et géographie",18
"1729","Littérature",36
"1729","N/A",1
"1729","Religion",4
"1729","Sciences",6
"1729","Techniques",7
"1730","Arts et loisirs",6
"1730","Économie et société",51
"1730","Généralités",1
"1730","Histoire et géographie",7
"1730","Langues",2
"1730","Littérature",27
"1730","N/A",1
"1730","Religion",5
"1730","Sciences",4
"1730","Techniques",6
"1731","Arts et loisirs",13
"1731","Économie et société",45
"1731","Généralités",3
"1731","Histoire et géographie",15
"1731","Littérature",49
"1731","Religion",8
"1731","Sciences",3
"1731","Techniques",4
"1732","Arts et loisirs",5
"1732","Économie et société",43
"1732","Généralités",2
