"ark","titre"
"cb32781466s","Gazette Pauline"
"cb32780494s","Gazette de Lemar"
"cb327803261","Gazette de lAcadémie Julian puis de lAtelier Dechenaud  des Ateliers BaschetSchommer Dechenaudquot"
"cb327803579","Gazette de lAtelier DehaudMollet de lÉcole régionale darchitecture et des beauxarts de Lille  de lAtelier DehaudtMollet et des beauxarts de Lillequot"
"cb32780358n","Gazette de lEcole des BeauxArtsquot"
"cb327803470","Gazette de latelier Andréquot"
"cb32780348b","Gazette de latelier Bernierquot"
"cb32780349p","Gazette de latelier Defrassequot"
"cb42750795f","Gazette de latelier DuquesneRecouraquot"
"cb32780350w","Gazette de latelier Héraudquot"
"cb327813028","Gazette de latelier Lalouxquot"
"cb444156285","Gazette de nos poilus"
"cb32780766c","Gazette des Cormon Collin Flameng et des ateliers de gravure"
"cb42750804k","Gazette des JPL"
"cb32780698q","Gazette des arts déco puis  des arts décoratifs"
"cb43639008g","Gazette des classes de composition"
"cb32780706h","Gazette des sculpteurs ateliers Coutan Injalbert Mercié et Peter"
"cb444156432","Gazette des tranchées"
"btv1b73001496","Gazette du créneau"
"btv1b7300085q","Gazette du poilu"
"cb32783911c","Greffe générale"
"btv1b7300012t","Il est interdit de bousculer les bégonias"
"cb444156730","Imberbes"
"cb444157409","Jausselys gazettequot"
"cb444157064","Journal des soldats du Choral moderne"
"cb32800507t","Journal des tranchées"
"cb328052672","Lapin à plumes supplément illustré du Canard poilu"
"btv1b7300017w","Lettres dun poiluquot"
"cb32808132v","Lion dArras"
"btv1b55005609q","Marcheur du 88e"
"btv1b55005598m","Marmite des poilus"
"cb32811715f","Marmoutier Gazette"
"cb42429408w","Marsouin du 53e"
"cb328120012","Marteau"
"btv1b55000552j","Mouchoir de boche"
"cb32824610c","Nos tanks Journal de guerre des artilleries dassaut alliéesquot"
"cb38688438w","Panseur"
"btv1b55000550n","Parpaing"
"cb328348077","Pêlemêle des dames blanches"
"cb42516307h","Pelle au peuple"
"cb32835057t","Perco"
"cb32836417x","Petit Français"
"btv1b73001370","Petit cheval de frise"
"btv1b550005587","Petit colonial"
"btv1b73000241","Petit écho du 18e"
"cb32836282t","Petit écho du 21e"
"cb328362835","Petit écho en campagne"
"btv1b7300145j","Petite marmite"
"cb32840513k","Poil civil"
"btv1b7300021s","Poil de tranchée"
"btv1b7300053r","Poilu déchaîné A Boche que veuxtu "
"cb32840486h","Poilu du 37"
"cb44415720p","Poilu du Petit Parisien"
"cb328405216","Poilu Journal du front"
"cb32840526x","Poilu Special Sammiesedition"
"cb328416551","Pou"
"btv1b7300152p","Première ligne"
"cb32846445c","Quatz arts du front"
"cb328465460","Quatrième vitrier"
"btv1b73000560","Rascasse territoriale"
"cb328486113","Ratàpoil"
"cb32848663b","Rayon 2e supplément du Poilu saintémilionnais"
"cb32849865t","Redon"
"btv1b55000561h","Réveil de Tranchéville"
"btv1b7300146z","Rigolos"
"btv1b7300138d","Roulante"
"cb328637943","SP rance"
"cb328638993","Sac à terre et  Le sac à malices"
"bpt6k111446k","Sans tabac "
"btv1b73000137","Seau à charbon"
"cb328709646","Son du cor"
"cb42678485g","Sourire de lescouade"
"btv1b55005605x","Sous les marmites"
"btv1b55000546x","Tablettes dun poilu"
"btv1b7300060w","Tacatac du moulin"
"btv1b7300139t","Tadeblagues"
"cb328769890","Terrible poilu torial"
"btv1b550005513","Titis et totos"
"btv1b7300147c","Tordsboyaux"
"cb32879433q","Trait dunion des UMBD"
"cb444157618","Trompette des marécages"
"btv1b7300019q","Ver luisant"
"cb32889279p","Vie poilusienne"
"btv1b550005498","Woëvre et sel"
"btv1b7300140g","Y a bon"
