"Titre du journal","Date de publication","Contexte gauche","Pivot","Contexte droit"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f18.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","sur-tout enfin, lorsque , faute d'accompagner ce changement de rages précautions, on pourroit réduire à la misère ceux qu'on veut tirer de la servitude , rendre nul le bienfait de la","liberté",", & fournir un nouveau fondement à la tyrannie de l'intérét personnel, & aux calomnies contre les politiques Philosophes"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f18.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","On ne connoît donc pas l'influence prodigieuse de la","liberté","sur le développement de la raison humaine, & sur l'établissement de la paix univerfeUe"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","la","liberté","feule peut donner ces trois choses"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","st l'on vouloit démontrer complettement qu'il n'y a qu'un moyen d'élever l'homme , & tous les hommes à la fois, & d'augmenter la masse de bonheur public. — La","liberté",".— En la rendant aux Nègres, cessez donc de les craindre: devenus nos frères , ils ne tarderont 'pas à s'eclairec, à devenir bons, &, ce qui peur-être est plus difficile, les"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f21.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","Les autres motifs qui ont arrêté la restitution de la","liberté","des Nègres, dans les Etats Méridionaux, ne font pas mieux fondés que celui qui vient d'être discuté"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f22.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","Depuis George Fox , qui fut mille fois hué , traîné dans la boue par les Prêtres de son temps , dont il dévoiloit le charlatanisme & les vices, jusqu'à Bénézet, qui a prêché la","liberté","de tous les hommes, tel a été le fort des Quakers, qui ont voulu faire le bien"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f23.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","Elle a imprimé dans l'esprit de la plupart des hommes, un relpeft vraiment religieux pour la cause de la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f24.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","exemple qui prouvera encore la force de l'influence de la","liberté","sur l'amélioration des peuples"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65365959/f15.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-02-22","Il Ce flattoit que la Porte, cédant aux représentations communes de tous les Ambassadeurs & Minières étrangers qui résident à ConGantinople, se laisseroit persuader à remettre l'Envoyé de S. M. Impériale de toutes les Russies en","liberté",", donneroit à cette Princesse une fatisfadion proportionnée à la violation du droit des gens, commise envers la personne de Ton Minière"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f16.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","au moment même qu'il défendoit leur","liberté",", il présentoit des mémoires à la Cour de Madrid) pour démontrer qu'il étoit indispensable d'aller chercher des Esclaves à la côte de Guinée"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f17.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","de la","liberté","des Nègres ont triomphé en Angleterre"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f34.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","Il est impossible que la communication perpétuelle entre ces pays & ks Américains libres ne rendent la","liberté","aux Florides"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f36.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","Ports, contre des hommes accoutumés aux fureurs de la mer, animés par l'esprit de","liberté",", unis par un même systême"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","Pitt répondit qu'il n'étot guères probable que la Chambre , lorsqu'un objet de cette importance auroit été versé les droits de la","liberté","dans les Provinces-Unies, sur le seul prétexte que cette révolution étoit nécessàire aux intérêts de la GrandeBretagne : & peut-être après avoir condamné la politique, qui a mis dans les fers une"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f13.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","Nous les prions d'observer, qu'en donnant la","liberté","de ne s'abonner que par Trimejlre, nous n"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f29.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","LE fpettacle qu'offre aujourd'hui l'Amérique libre , est un des plus imposans qui jamais aient frappé les regards d'un politique ami de l'humanité & de la","liberté",". — Lorsque la paix a permis à ses habitans de respirer librement, ils se font hâtés d'examiner les fondemens élevés à la hâte sur"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f30.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","ce dont est capable la raison humaine, quand ellg peur se développer, penser & parler en","liberté",", pour la"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f30.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16",", pour la","liberté","& pour l'humanité"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361451/f30.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-05-16","Les Européens s'agirent beaucoup pour faire réformer quelques abus de Gouvernement intérieur, & c'est au Trône que les Améri. cains libres porcent tous leurs coups. — Les Européens parlent beaucoup de","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361666/f2.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-07-29","Le récit des scènes brutales & sanglantes, que cet événement fait naître chez un peuple aussi avancé dans les principes de la civilisation, peur servir de leçon aux peuples qui aspirent à la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361666/f2.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-07-29","Angleterre a posé sa confiitution sur les bases de la","liberté",", qu'elle est devenue une des premières puissances de XEwope, qu'elle a porté ses conquêtes dans toutes les parties du monde , & les a fait servir à l'augmentation de sa richesse & de son pouvoir"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361666/f5.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-07-29","blic éroiç convaincu que le mérite des petfonnages ilîustres qui époufoient la cause du Lord John 1cwn<kend étoit une recommandation puissante : que d'ailleurs les principes de Lord Townshend étoienc connus, & ses liaisons relies qu'on ne pouvoir douter dt ses sentimens en faveur des ciroyens attachés à la constitution & à la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361666/f21.image.r=libertés' target='_blank'>Analyse des papiers anglois</a>","1788-07-29","","libertés","du peuple ont du droit le plus strict cc Les prérogatives na) tionales doivent sortir leur effet, dès qu'elles » ont été découvertes, quelqu'anciennes qu'elles"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361666/f22.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-07-29","Le Prince d'Orange ,> se sais un jeu de la","liberté","nationale , & le Pension» nuire Fagel le soutint"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361666/f6.image.r=libertés' target='_blank'>Analyse des papiers anglois</a>","1788-07-29","Il observa que Lord Hood avoit commencé par se montrer zélé partisan des","libertés","& franchises de la cité de Wejlminjler"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361666/f23.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-07-29","","liberté","rétablie. ) Cette glorieuse devise, adoptée alors par-tout, montroit suffisamment et qu'on pensoit du Gouvernemenr précédent"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k65361666/f23.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-07-29","La","liberté","populaire ne triompha pas avec moins d'éclat en Overyssel"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f2.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","r 578 1 derniers portent rivreffe de la victoire , & la","liberté","de s'exprimer, si les preuves n'exiftoiene dans les Papiers publics d'Angleterre"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","Ils n'ont actuellement d'autre garans de leur","liberté","que cet odieux Stathoudérat, & les"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f19.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","Ces diflentions/tant qu'elles ne dégénèrent pas en factions ouvertes, font la fauve-garde de la","liberté","populaire"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f3.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","Ddddi 33 de Westminster, que de voir des efforts tentés s, sur la","liberté",", par l'interposition illégale de la » Cour & de la Trésorerie"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f20.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","59*1 constance , formé un équilibre, à l'abri duquel le simple citoyen conferve sa","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f21.image.r=libertés' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","que de créer un fantôme d'autorité aLTez circonlcrit peur n'être pas dangereux aux","libertés","publiques"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f21.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","mais en même- teml s, allez élevé pour imposer à tous les ambitieux subalternes qui cherchent leur agrandissement sur les débris de la","liberté",", à ces démagogues fattieux qui out causé la ruine de tant de Républiques"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f23.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","la plus grande","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536169f/f15.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-08-08","On pourroit demander si les trois autres n'auroienc pas lieu de se plaindre d'un état de choses qui en- chaîne la","liberté","des délibérations de tout le corps fédératif"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6285554q/f1.image.r=liberté' target='_blank'>Gazette de France</a>","1788-12-26","On forme un nouveau corps de troupes oes exilés dans la Sibérie , qui viennent d'obtenir leur","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6285554q/f2.image.r=liberté' target='_blank'>Gazette de France</a>","1788-12-26","Je connois ces fautes de la","liberté",", & pourtant je"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6285554q/f2.image.r=liberté' target='_blank'>Gazette de France</a>","1788-12-26","Aimant la","liberté",", je dois aimer auffi cette patrie où je fuis né libre *, aimant ma patrie, je dois - auffi lui dire les chofes que je crois vraies, lors même qu'elles paroifTent déplaifantes ou coupables"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6285554q/f2.image.r=liberté' target='_blank'>Gazette de France</a>","1788-12-26","Je faurai renoncer à tout & non pas à la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536611z/f16.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-04-18","L'influence de la Religion a sans contredit été, avec l'influence des Papiers publics, un des plus puissans ressorts pour opérer en Amérique la révolution heureuse que rend à la","liberté","une partie de ce continent"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536611z/f17.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-04-18","Priestley fait l'hommage à la feule Religion Chrétienne des efforts qu'on fait de tous les côtés pour étendre la","liberté",", pour élever la dignité de l'homme , pour abolir l'esclavage"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536611z/f17.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-04-18","Priestley oublioit, dans ce moment, tant de grandes vérités, développées par le Païen Sénèque avec son énergie ordinaire sur la","liberté","& sur l'ef1 clavage"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536611z/f24.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-04-18","44° 1 apprenant que les Maîcres de cette Capitale, d'o& fort le tonnerre qui gronde sans cesse sur leur tête, s'occupent des moyens d'adoucir leur fort, &de leur rendre un jour la","liberté",""
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536611z/f24.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-04-18","qu'ils ayent enfin la","liberté","d'embraner leurs enfans, de jouir, avec eux & leurs épouses , des douceurs de"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536611z/f10.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-04-18","En même temps, nous prendrons la","liberté","de faire aux Anglois une question"
"<a href='https://gallica.bnf.fr/ark:/12148/bpt6k6536611z/f14.image.r=liberté' target='_blank'>Analyse des papiers anglois</a>","1788-04-18","Comment les Provinces-Unies ayant perdu toute","liberté",", & ayant chez elles une force étrangère plus puissante que la leur , & par conséquent louveraine, ont-elles pu faire un traité d'alliance"
