"date","principales_villes","n"
"1772","Autre",72
"1772","Dijon",1
"1772","Marseille",1
"1772","Paris",247
"1773","Autre",124
"1773","Dijon",2
"1773","Marseille",1
"1773","Paris",406
"1774","Alger",1
"1774","Autre",292
"1774","Bordeaux",1
"1774","Clermont Ferrand",5
"1774","Dijon",7
"1774","Paris",387
"1774","Rennes",1
"1774","Troyes",4
"1775","Alger",1
"1775","Autre",295
"1775","Dijon",1
"1775","Paris",357
"1776","Autre",158
"1776","Clermont Ferrand",3
"1776","Dijon",1
"1776","Paris",347
"1776","Rennes",1
"1776","Troyes",1
"1777","Alger",1
"1777","Autre",226
"1777","Clermont Ferrand",3
"1777","Dijon",2
"1777","Marseille",1
"1777","Paris",806
"1777","Rennes",1
"1777","Troyes",2
"1778","Autre",132
"1778","Clermont Ferrand",1
"1778","Dijon",2
"1778","Marseille",1
"1778","Paris",794
"1779","Autre",138
"1779","Bordeaux",1
"1779","Dijon",1
"1779","Marseille",4
"1779","Paris",828
"1779","Troyes",1
"1780","Autre",126
"1780","Dijon",1
"1780","Marseille",1
"1780","Paris",736
"1781","Autre",139
"1781","Bordeaux",2
"1781","Dijon",1
"1781","Paris",762
"1782","Autre",89
"1782","Marseille",1
"1782","Paris",592
"1783","Autre",85
"1783","Paris",752
"1784","Autre",70
"1784","Paris",532
"1785","Autre",76
"1785","Marseille",1
"1785","Paris",570
"1786","Autre",97
"1786","Bordeaux",2
"1786","Marseille",2
"1786","Paris",593
"1787","Autre",133
"1787","Paris",640
"1788","Autre",104
"1788","Paris",714
"1789","Autre",395
"1789","Dijon",1
"1789","Marseille",157
"1789","Paris",1959
"1790","Alger",1
"1790","Autre",293
"1790","Bordeaux",4
"1790","Dijon",2
"1790","Marseille",170
"1790","Paris",3968
"1791","Autre",3523
"1791","Bordeaux",8
"1791","Dijon",1
"1791","Marseille",171
"1791","Paris",5250
"1791","Pau",6
"1792","Autre",2269
"1792","Marseille",6
"1792","Paris",4264
"1793","Autre",122
"1793","Bordeaux",1
"1793","Dijon",1
"1793","Marseille",5
"1793","Paris",4111
"1794","Alger",1
"1794","Autre",192
"1794","Bordeaux",1
"1794","Dijon",5
"1794","Paris",3685
"1795","Autre",125
"1795","Paris",2497
"1796","Autre",106
"1796","Paris",3470
"1796","Rennes",1
"1796","Troyes",1
"1797","Autre",534
"1797","Paris",3802
"1797","Rennes",11
"1798","Autre",402
"1798","Paris",3020
"1798","Rennes",4
"1799","Alger",2
"1799","Autre",466
"1799","Dijon",3
"1799","Paris",2778
"1799","Rennes",2
"1800","Autre",498
"1800","Paris",2165
"1800","Rennes",7
"1801","Alger",2
"1801","Autre",468
"1801","Bordeaux",8
"1801","Paris",1941
"1801","Rennes",3
"1802","Alger",1
"1802","Autre",3608
"1802","Bordeaux",14
"1802","Paris",2730
"1802","Troyes",5
"1803","Autre",451
"1803","Bordeaux",3
"1803","Dijon",1
"1803","Marseille",6
"1803","Paris",2390
"1803","Troyes",2
"1804","Alger",1
"1804","Autre",462
"1804","Bordeaux",1
"1804","Clermont Ferrand",1
"1804","Marseille",2
"1804","Paris",2616
"1804","Rennes",1
"1804","Troyes",2
"1805","Autre",485
"1805","Bordeaux",1
"1805","Dijon",6
"1805","Marseille",2
"1805","Paris",2258
"1806","Autre",457
"1806","Dijon",1
"1806","Marseille",1
"1806","Paris",2282
"1807","Autre",302
"1807","Bordeaux",1
"1807","Marseille",1
"1807","Paris",2339
"1807","Troyes",5
"1808","Autre",213
"1808","Bordeaux",4
"1808","Marseille",4
"1808","Paris",2038
"1809","Autre",314
"1809","Bourges",53
"1809","Marseille",4
"1809","Paris",2171
"1810","Alger",1
"1810","Autre",290
"1810","Bordeaux",5
"1810","Clermont Ferrand",1
"1810","Dijon",5
"1810","Marseille",3
"1810","Paris",1927
"1810","Rennes",1
"1811","Alger",3
"1811","Autre",190
"1811","Bordeaux",3
"1811","Marseille",4
"1811","Paris",2046
"1811","Rennes",1
"1812","Alger",2
"1812","Autre",137
"1812","Bordeaux",3
"1812","Bourges",40
"1812","Marseille",6
"1812","Paris",2045
"1813","Alger",2
"1813","Autre",225
"1813","Bordeaux",7
"1813","Bourges",103
"1813","Dijon",1
"1813","Marseille",8
"1813","Paris",1985
"1813","Rennes",2
"1814","Autre",202
"1814","Bourges",104
"1814","Dijon",1
"1814","Marseille",2
"1814","Paris",2344
"1815","Alger",1
"1815","Autre",189
"1815","Bordeaux",1
"1815","Bourges",102
"1815","Marseille",2
"1815","Paris",2442
"1815","Rennes",1
"1816","Autre",164
"1816","Bourges",103
"1816","Dijon",4
"1816","Paris",2851
"1816","Rennes",6
"1817","Alger",3
"1817","Autre",168
"1817","Bordeaux",3
"1817","Bourges",105
"1817","Dijon",1
"1817","Marseille",1
"1817","Paris",2812
"1818","Alger",10
"1818","Autre",218
"1818","Bourges",104
"1818","Dijon",2
"1818","Marseille",6
"1818","Paris",2931
"1818","Rennes",1
"1819","Alger",4
"1819","Autre",244
"1819","Bourges",104
"1819","Dijon",4
"1819","Paris",3502
"1820","Autre",272
"1820","Bordeaux",1
"1820","Bourges",104
"1820","Dijon",4
"1820","Marseille",4
"1820","Paris",3701
"1820","Rennes",2
"1821","Autre",275
"1821","Bordeaux",3
"1821","Bourges",104
"1821","Dijon",4
"1821","Marseille",3
"1821","Paris",4247
"1821","Rennes",5
"1822","Autre",428
"1822","Bordeaux",3
"1822","Bourges",104
"1822","Dijon",1
"1822","Marseille",7
"1822","Paris",4644
"1822","Rennes",1
"1823","Autre",438
"1823","Bordeaux",4
"1823","Bourges",104
"1823","Clermont Ferrand",2
"1823","Dijon",3
"1823","Marseille",10
"1823","Paris",4453
"1824","Autre",471
"1824","Bordeaux",8
"1824","Bourges",90
"1824","Clermont Ferrand",6
"1824","Dijon",11
"1824","Marseille",2
"1824","Paris",4250
"1825","Autre",352
"1825","Bordeaux",5
"1825","Bourges",104
"1825","Dijon",1
"1825","Marseille",4
"1825","Paris",3950
"1826","Autre",324
"1826","Bordeaux",5
"1826","Bourges",105
"1826","Marseille",2
"1826","Paris",5018
"1827","Autre",246
"1827","Bordeaux",2
"1827","Bourges",104
"1827","Marseille",8
"1827","Paris",4289
"1828","Autre",467
"1828","Bordeaux",3
"1828","Bourges",105
"1828","Marseille",307
"1828","Paris",4645
"1829","Autre",519
"1829","Bordeaux",3
"1829","Bourges",104
"1829","Clermont Ferrand",1
"1829","Dijon",1
"1829","Marseille",305
"1829","Paris",5354
"1830","Autre",423
"1830","Bordeaux",1
"1830","Bourges",105
"1830","Clermont Ferrand",1
"1830","Dijon",112
"1830","Marseille",304
"1830","Paris",5516
"1831","Autre",464
"1831","Bordeaux",2
"1831","Bourges",131
"1831","Dijon",173
"1831","Marseille",309
"1831","Paris",4640
"1832","Alger",37
"1832","Autre",565
"1832","Bordeaux",1
"1832","Bourges",156
"1832","Dijon",186
"1832","Marseille",309
"1832","Paris",4254
"1832","Troyes",1
"1833","Alger",48
"1833","Autre",703
"1833","Bordeaux",1
"1833","Bourges",149
"1833","Clermont Ferrand",1
"1833","Dijon",183
"1833","Marseille",305
"1833","Paris",5278
"1834","Alger",48
"1834","Autre",882
"1834","Bordeaux",3
"1834","Bourges",144
"1834","Clermont Ferrand",1
"1834","Dijon",182
"1834","Marseille",305
"1834","Paris",4973
"1835","Alger",56
"1835","Autre",1035
"1835","Bordeaux",4
"1835","Bourges",157
"1835","Dijon",183
"1835","Marseille",304
"1835","Paris",5187
"1835","Troyes",1
"1836","Alger",54
"1836","Autre",1204
"1836","Bordeaux",22
"1836","Bourges",157
"1836","Clermont Ferrand",1
"1836","Dijon",186
"1836","Marseille",313
"1836","Paris",5583
"1836","Rennes",1
"1837","Alger",53
"1837","Autre",1605
"1837","Bordeaux",340
"1837","Bourges",155
"1837","Clermont Ferrand",1
"1837","Dijon",185
"1837","Marseille",300
"1837","Paris",5704
"1837","Troyes",1
"1838","Alger",29
"1838","Autre",1574
"1838","Bordeaux",253
"1838","Bourges",152
"1838","Clermont Ferrand",1
"1838","Dijon",189
"1838","Marseille",372
"1838","Paris",5273
"1839","Alger",29
"1839","Autre",1525
"1839","Bordeaux",4
"1839","Bourges",155
"1839","Clermont Ferrand",1
"1839","Dijon",207
"1839","Marseille",389
"1839","Paris",4962
"1839","Rennes",1
"1839","Troyes",2
"1840","Alger",34
"1840","Autre",1190
"1840","Bordeaux",5
"1840","Bourges",155
"1840","Clermont Ferrand",1
"1840","Dijon",237
"1840","Marseille",317
"1840","Paris",5009
"1840","Rennes",3
"1840","Troyes",14
"1841","Alger",37
"1841","Autre",1222
"1841","Bordeaux",7
"1841","Bourges",155
"1841","Clermont Ferrand",2
"1841","Dijon",236
"1841","Marseille",309
"1841","Paris",5456
"1841","Pau",1
"1841","Rennes",1
"1841","Troyes",1
"1842","Alger",48
"1842","Autre",1541
"1842","Bordeaux",6
"1842","Bourges",156
"1842","Clermont Ferrand",2
"1842","Dijon",237
"1842","Marseille",308
"1842","Paris",4925
"1842","Pau",1
"1842","Rennes",1
"1842","Troyes",4
"1843","Alger",71
"1843","Autre",1567
"1843","Bordeaux",4
"1843","Bourges",154
"1843","Clermont Ferrand",1
"1843","Dijon",236
"1843","Marseille",311
"1843","Paris",5133
"1843","Pau",1
"1843","Troyes",4
"1844","Alger",71
"1844","Autre",1643
"1844","Bordeaux",5
"1844","Bourges",155
"1844","Clermont Ferrand",3
"1844","Dijon",193
"1844","Marseille",308
"1844","Paris",5599
"1844","Pau",1
"1844","Troyes",2
"1845","Alger",72
"1845","Autre",2043
"1845","Bordeaux",6
"1845","Bourges",154
"1845","Clermont Ferrand",1
"1845","Dijon",159
"1845","Marseille",308
"1845","Paris",5890
"1845","Rennes",1
"1845","Troyes",2
"1846","Alger",71
"1846","Autre",1990
"1846","Bordeaux",363
"1846","Bourges",156
"1846","Clermont Ferrand",1
"1846","Dijon",157
"1846","Marseille",320
"1846","Paris",5464
"1846","Rennes",1
"1846","Troyes",1
"1847","Alger",73
"1847","Autre",2151
"1847","Bordeaux",365
"1847","Bourges",153
"1847","Clermont Ferrand",2
"1847","Dijon",158
"1847","Marseille",310
"1847","Paris",4457
"1847","Troyes",3
"1848","Alger",74
"1848","Autre",2420
"1848","Bordeaux",360
"1848","Bourges",255
"1848","Clermont Ferrand",1
"1848","Dijon",159
"1848","Marseille",937
"1848","Paris",4780
"1848","Rennes",20
"1848","Troyes",1
"1849","Alger",72
"1849","Autre",3046
"1849","Bordeaux",367
"1849","Bourges",310
"1849","Clermont Ferrand",2
"1849","Dijon",232
"1849","Marseille",521
"1849","Paris",6045
"1849","Pau",125
"1849","Rennes",1
"1849","Troyes",12
"1850","Alger",78
"1850","Autre",3810
"1850","Bordeaux",59
"1850","Bourges",310
"1850","Clermont Ferrand",2
"1850","Dijon",235
"1850","Marseille",897
"1850","Paris",6421
"1850","Pau",288
"1850","Troyes",42
"1851","Alger",73
"1851","Autre",3814
"1851","Bordeaux",52
"1851","Bourges",312
"1851","Clermont Ferrand",2
"1851","Dijon",155
"1851","Marseille",933
"1851","Paris",5868
"1851","Pau",239
"1851","Rennes",2
"1851","Troyes",8
"1852","Alger",72
"1852","Autre",2786
"1852","Bordeaux",53
"1852","Bourges",308
"1852","Clermont Ferrand",2
"1852","Dijon",158
"1852","Marseille",618
"1852","Paris",5482
"1852","Troyes",2
"1853","Alger",72
"1853","Autre",2179
"1853","Bordeaux",54
"1853","Bourges",309
"1853","Clermont Ferrand",3
"1853","Dijon",159
"1853","Marseille",616
"1853","Paris",4956
"1853","Troyes",4
"1854","Alger",73
"1854","Autre",1594
"1854","Bordeaux",54
"1854","Bourges",303
"1854","Clermont Ferrand",1
"1854","Dijon",160
"1854","Marseille",646
"1854","Paris",5115
"1854","Rennes",2
"1854","Troyes",4
"1855","Alger",72
"1855","Autre",1512
"1855","Bordeaux",54
"1855","Bourges",302
"1855","Clermont Ferrand",2
"1855","Dijon",157
"1855","Marseille",640
"1855","Paris",4698
"1855","Rennes",2
"1855","Troyes",4
"1856","Alger",75
"1856","Autre",1842
"1856","Bordeaux",5
"1856","Bourges",305
"1856","Clermont Ferrand",1
"1856","Dijon",159
"1856","Marseille",666
"1856","Paris",5123
"1856","Rennes",2
"1856","Troyes",3
"1857","Alger",44
"1857","Autre",2239
"1857","Bordeaux",33
"1857","Bourges",307
"1857","Clermont Ferrand",2
"1857","Dijon",141
"1857","Marseille",632
"1857","Paris",5252
"1857","Rennes",2
"1857","Troyes",4
"1858","Alger",1
"1858","Autre",2289
"1858","Bordeaux",117
"1858","Bourges",304
"1858","Clermont Ferrand",1
"1858","Dijon",1
"1858","Marseille",329
"1858","Paris",5131
"1858","Pau",1
"1858","Rennes",2
"1858","Troyes",5
"1859","Alger",41
"1859","Autre",2722
"1859","Bordeaux",320
"1859","Bourges",310
"1859","Clermont Ferrand",2
"1859","Dijon",5
"1859","Marseille",314
"1859","Paris",4807
"1859","Pau",1
"1859","Rennes",1
"1859","Troyes",4
"1860","Alger",9
"1860","Autre",2410
"1860","Bordeaux",410
"1860","Bourges",308
"1860","Clermont Ferrand",3
"1860","Dijon",3
"1860","Marseille",311
"1860","Paris",5885
"1860","Pau",1
"1860","Rennes",1
"1860","Troyes",20
"1861","Alger",3
"1861","Autre",2928
"1861","Bordeaux",454
"1861","Bourges",308
"1861","Clermont Ferrand",2
"1861","Dijon",4
"1861","Marseille",316
"1861","Paris",5414
"1861","Pau",1
"1861","Rennes",1
"1861","Troyes",5
"1862","Alger",23
"1862","Autre",2651
"1862","Bordeaux",165
"1862","Bourges",307
"1862","Clermont Ferrand",2
"1862","Dijon",4
"1862","Marseille",335
"1862","Paris",5663
"1862","Pau",1
"1862","Rennes",2
"1862","Troyes",5
"1863","Alger",6
"1863","Autre",3287
"1863","Bordeaux",374
"1863","Bourges",309
"1863","Clermont Ferrand",335
"1863","Dijon",20
"1863","Marseille",317
"1863","Paris",6539
"1863","Pau",334
"1863","Rennes",1
"1863","Troyes",5
"1864","Alger",4
"1864","Autre",3177
"1864","Bordeaux",346
"1864","Bourges",311
"1864","Clermont Ferrand",364
"1864","Dijon",6
"1864","Marseille",313
"1864","Paris",6205
"1864","Pau",363
"1864","Rennes",1
"1864","Troyes",5
"1865","Alger",8
"1865","Autre",3529
"1865","Bordeaux",378
"1865","Bourges",310
"1865","Clermont Ferrand",352
"1865","Dijon",14
"1865","Marseille",325
"1865","Paris",6801
"1865","Pau",352
"1865","Rennes",1
"1865","Troyes",4
"1866","Alger",3
"1866","Autre",3158
"1866","Bordeaux",362
"1866","Bourges",307
"1866","Clermont Ferrand",350
"1866","Dijon",20
"1866","Marseille",352
"1866","Paris",6949
"1866","Pau",383
"1866","Rennes",2
"1866","Troyes",4
"1867","Alger",3
"1867","Autre",2990
"1867","Bordeaux",385
"1867","Bourges",291
"1867","Clermont Ferrand",366
"1867","Dijon",4
"1867","Marseille",319
"1867","Paris",7331
"1867","Pau",423
"1867","Rennes",1
"1867","Troyes",4
"1868","Alger",3
"1868","Autre",3304
"1868","Bordeaux",424
"1868","Bourges",157
"1868","Clermont Ferrand",367
"1868","Dijon",5
"1868","Marseille",587
"1868","Paris",8506
"1868","Pau",518
"1868","Rennes",1
"1868","Troyes",4
"1869","Alger",4
"1869","Autre",3836
"1869","Bordeaux",386
"1869","Bourges",304
"1869","Clermont Ferrand",366
"1869","Dijon",269
"1869","Marseille",692
"1869","Paris",10281
"1869","Pau",519
"1869","Rennes",2
"1869","Troyes",5
"1870","Alger",4
"1870","Autre",3692
"1870","Bordeaux",684
"1870","Bourges",189
"1870","Clermont Ferrand",370
"1870","Dijon",211
"1870","Marseille",670
"1870","Paris",11407
"1870","Pau",525
"1870","Troyes",4
"1871","Alger",4
"1871","Autre",3952
"1871","Bordeaux",652
"1871","Bourges",174
"1871","Clermont Ferrand",353
"1871","Dijon",205
"1871","Marseille",683
"1871","Paris",10064
"1871","Pau",509
"1871","Rennes",1
"1871","Troyes",3
"1872","Alger",36
"1872","Autre",4705
"1872","Bordeaux",518
"1872","Bourges",216
"1872","Clermont Ferrand",367
"1872","Dijon",309
"1872","Marseille",676
"1872","Paris",12115
"1872","Pau",519
"1872","Rennes",4
"1872","Troyes",33
"1873","Alger",4
"1873","Autre",5195
"1873","Bordeaux",540
"1873","Bourges",310
"1873","Clermont Ferrand",367
"1873","Dijon",311
"1873","Marseille",668
"1873","Paris",12736
"1873","Pau",523
"1873","Rennes",17
"1873","Troyes",309
"1874","Alger",5
"1874","Autre",4658
"1874","Bordeaux",633
"1874","Bourges",313
"1874","Clermont Ferrand",366
"1874","Dijon",326
"1874","Marseille",676
"1874","Paris",13532
"1874","Pau",517
"1874","Rennes",35
"1874","Troyes",308
"1875","Alger",6
"1875","Autre",5611
"1875","Bordeaux",840
"1875","Bourges",312
"1875","Clermont Ferrand",363
"1875","Dijon",328
"1875","Marseille",760
"1875","Paris",14314
"1875","Pau",548
"1875","Troyes",311
"1876","Alger",9
"1876","Autre",5531
"1876","Bordeaux",762
"1876","Bourges",307
"1876","Clermont Ferrand",366
"1876","Dijon",326
"1876","Marseille",772
"1876","Paris",15203
"1876","Pau",576
"1876","Troyes",332
"1877","Alger",24
"1877","Autre",5594
"1877","Bordeaux",752
"1877","Bourges",306
"1877","Clermont Ferrand",366
"1877","Dijon",326
"1877","Marseille",775
"1877","Paris",14940
"1877","Pau",929
"1877","Troyes",337
"1878","Alger",30
"1878","Autre",6079
"1878","Bordeaux",616
"1878","Bourges",306
"1878","Clermont Ferrand",366
"1878","Dijon",329
"1878","Marseille",786
"1878","Paris",15378
"1878","Pau",779
"1878","Troyes",333
"1879","Alger",30
"1879","Autre",6607
"1879","Bordeaux",621
"1879","Bourges",309
"1879","Clermont Ferrand",365
"1879","Dijon",335
"1879","Marseille",789
"1879","Paris",16235
"1879","Pau",685
"1879","Troyes",308
"1880","Alger",27
"1880","Autre",6981
"1880","Bordeaux",722
"1880","Bourges",308
"1880","Clermont Ferrand",367
"1880","Dijon",324
"1880","Marseille",1043
"1880","Paris",17737
"1880","Pau",697
"1880","Troyes",309
"1881","Alger",186
"1881","Autre",7328
"1881","Bordeaux",664
"1881","Bourges",525
"1881","Clermont Ferrand",366
"1881","Dijon",336
"1881","Marseille",1113
"1881","Paris",18842
"1881","Pau",683
"1881","Troyes",331
"1882","Alger",334
"1882","Autre",8090
"1882","Bordeaux",736
"1882","Bourges",873
"1882","Clermont Ferrand",365
"1882","Dijon",357
"1882","Marseille",1230
"1882","Paris",20971
"1882","Pau",992
"1882","Rennes",1
"1882","Troyes",606
"1883","Alger",415
"1883","Autre",8205
"1883","Bordeaux",780
"1883","Bourges",780
"1883","Clermont Ferrand",365
"1883","Dijon",357
"1883","Marseille",1217
"1883","Paris",20614
"1883","Pau",983
"1883","Troyes",365
"1884","Alger",451
"1884","Autre",8690
"1884","Bordeaux",730
"1884","Bourges",572
"1884","Clermont Ferrand",367
"1884","Dijon",451
"1884","Marseille",1110
"1884","Paris",20749
"1884","Pau",1026
"1884","Rennes",2
"1884","Troyes",369
"1885","Alger",413
"1885","Autre",8953
"1885","Bordeaux",807
"1885","Bourges",672
"1885","Clermont Ferrand",656
"1885","Dijon",728
"1885","Marseille",715
"1885","Paris",20964
"1885","Pau",745
"1885","Rennes",1
"1885","Troyes",368
"1886","Alger",412
"1886","Autre",8837
"1886","Bordeaux",852
"1886","Bourges",669
"1886","Clermont Ferrand",728
"1886","Dijon",723
"1886","Marseille",1088
"1886","Paris",21358
"1886","Pau",666
"1886","Rennes",1
"1886","Troyes",537
"1887","Alger",391
"1887","Autre",8527
"1887","Bordeaux",1028
"1887","Bourges",670
"1887","Clermont Ferrand",723
"1887","Dijon",723
"1887","Marseille",1095
"1887","Paris",22299
"1887","Pau",669
"1887","Rennes",1
"1887","Troyes",727
"1888","Alger",104
"1888","Autre",8558
"1888","Bordeaux",1158
"1888","Bourges",673
"1888","Clermont Ferrand",729
"1888","Dijon",719
"1888","Marseille",1078
"1888","Paris",23741
"1888","Pau",669
"1888","Rennes",13
"1888","Troyes",734
"1889","Alger",551
"1889","Autre",9671
"1889","Bordeaux",1139
"1889","Bourges",666
"1889","Clermont Ferrand",731
"1889","Dijon",724
"1889","Marseille",1070
"1889","Paris",24966
"1889","Pau",694
"1889","Rennes",51
"1889","Troyes",732
"1890","Alger",537
"1890","Autre",10107
"1890","Bordeaux",1163
"1890","Bourges",853
"1890","Clermont Ferrand",731
"1890","Dijon",585
"1890","Marseille",1116
"1890","Paris",24350
"1890","Pau",688
"1890","Rennes",53
"1890","Troyes",729
"1891","Alger",592
"1891","Autre",11310
"1891","Bordeaux",1125
"1891","Bourges",869
"1891","Clermont Ferrand",730
"1891","Dijon",394
"1891","Marseille",1116
"1891","Paris",23846
"1891","Pau",717
"1891","Rennes",52
"1891","Troyes",730
"1892","Alger",671
"1892","Autre",11558
"1892","Bordeaux",1216
"1892","Bourges",873
"1892","Clermont Ferrand",729
"1892","Dijon",391
"1892","Marseille",1112
"1892","Paris",24489
"1892","Pau",785
"1892","Rennes",57
"1892","Troyes",736
"1893","Alger",703
"1893","Autre",11620
"1893","Bordeaux",1216
"1893","Bourges",999
"1893","Clermont Ferrand",713
"1893","Dijon",388
