"date","count","base","ratio","mot","url","resolution","corpus","langue","bibli","search_mode"
"1889",2,83825684,2.38590358534981e-08,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1890",3,84773556,3.5388393993995e-08,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1891",13,95803305,1.35694692369955e-07,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1892",6,77884934,7.70367218902696e-08,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1893",4,96134773,4.16082534464402e-08,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1894",2,117474272,1.70250044196911e-08,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1895",20,132103366,1.51396596510645e-07,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1896",38,184716869,2.05720247456122e-07,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1897",44,186151976,2.36366010962999e-07,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1898",152,190765311,7.96790565345499e-07,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1899",2579,174067726,1.48160722223717e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1900",3705,157817705,2.34764534182017e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1901",5274,220130905,2.39584714377111e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1902",6540,203375278,3.21573008495162e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1903",7086,184622139,3.83810957796345e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1904",7059,179947079,3.92281999753939e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1905",14051,229861428,6.11281332507862e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1906",17951,239919689,7.48208705789044e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1907",20235,242427280,8.34683291418359e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1908",26964,260267394,0.000103601144905612,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1909",35572,271050587,0.000131237494792808,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1910",37332,232745599,0.000160398306822549,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1911",27023,205365409,0.000131584964242932,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1912",32558,235793703,0.000138078326883903,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1913",35073,233115867,0.000150453079197736,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1914",35506,251142012,0.000141378177698122,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1915",36536,244391868,0.000149497609306706,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1916",39393,235160673,0.000167515254559592,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1917",36272,231216650,0.000156874515740973,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1918",35143,260845163,0.000134727435984696,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1919",43317,264162349,0.000163978705383181,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1920",50760,273427164,0.000185643588798661,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1921",62843,328311635,0.000191412649752727,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1922",64484,344786630,0.000187025813616961,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1923",24993,116659834,0.000214238261302515,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1924",24380,115182090,0.000211664851714359,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1925",21414,86261476,0.000248245230582421,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1926",20149,80974630,0.00024883102275367,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1927",16709,66033169,0.000253039498982701,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1928",15118,64466260,0.00023451026940294,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1929",13394,51903688,0.000258054880416205,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1930",14924,62377024,0.000239254761496797,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1931",13574,62847935,0.000215981638855756,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1932",17635,91981972,0.000191722351853905,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1933",15428,91332978,0.000168920365215727,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1934",16126,92358733,0.000174601788874691,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1935",15986,87953788,0.000181754536825634,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1936",14755,88691134,0.000166363866764856,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1937",16024,89020393,0.00018000369870306,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1938",14064,87894908,0.000160009269251411,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1939",10599,75277427,0.000140799180078246,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1940",7853,67489615,0.000116358642733404,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1941",11994,85442414,0.000140375247356658,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1942",9184,72912843,0.0001259586051253,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1943",5027,65277578,7.70095973842657e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1944",5137,64274455,7.99228869385201e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1945",8950,85164592,0.000105090622638103,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1946",8850,77376299,0.000114376108890915,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1947",6256,68626669,9.11598958708021e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1948",6532,65723393,9.93862261493408e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1949",5553,61405484,9.04316624228546e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1950",5476,58574408,9.34879273555782e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1951",5040,59374808,8.48844850159347e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1952",4473,57612802,7.76389941943806e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1953",3990,53764517,7.42125145474663e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1954",2678,38330224,6.98665366526426e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1955",2881,38999070,7.38735564719877e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1956",828,12097425,6.8444317695708e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1957",762,11937640,6.38317121307059e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1958",727,12170807,5.9733097402662e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1959",938,16047173,5.84526632821868e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1960",2329,43057264,5.40907569045725e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1961",2216,42585193,5.20368664291365e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1962",1711,33012543,5.18287851984017e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1963",1317,28166386,4.67578623682854e-05,"automobile+automobiles","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1851",4125,19404677,0.000212577617241452,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1852",2286,10019140,0.000228163295452504,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1853",2458,7990364,0.000307620528927093,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1854",5937,22599065,0.000262709983798002,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1855",5406,17274992,0.000312937916266474,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1856",6773,28340267,0.000238988574102001,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1857",7576,22830276,0.000331840053094409,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1858",9418,32614174,0.000288770152510991,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1859",8365,26643303,0.000313962574385015,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1860",8711,24137701,0.000360887724974305,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1861",9909,32367492,0.000306140494295944,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1862",9476,34250055,0.000276671088557376,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1863",9367,29364936,0.000318985881665126,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1864",5389,18614033,0.000289512756316699,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1865",7086,19988177,0.000354509568331319,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1866",6688,27055188,0.000247198430112554,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1867",9211,32216894,0.000285905897694545,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1868",9959,30856920,0.000322747701325991,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1869",13401,35927033,0.000373006031419294,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1870",13482,36959549,0.000364777178422821,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1871",10878,30894949,0.000352096389607246,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1872",16130,36507838,0.000441822931283962,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1873",18610,45764318,0.000406648690798801,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1874",16620,42961282,0.000386859963815791,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1875",16948,48077774,0.000352512160816763,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1876",20144,58160599,0.000346351315948448,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1877",15950,48178658,0.000331059449601108,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1878",18262,57671175,0.000316657324911448,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1879",19614,57089507,0.000343565762443876,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1880",14601,44342556,0.000329277365066642,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1881",16352,44331198,0.000368859871551407,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1882",17139,51210756,0.00033467578568846,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1883",21594,62937617,0.000343101646190386,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1884",16052,49289043,0.000325670758103378,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1885",17503,52373055,0.000334198568328695,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1886",21180,64394470,0.000328910230956168,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1887",26175,73193113,0.000357615613370619,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1888",30502,84240229,0.000362083536121441,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1889",31803,83825684,0.0003793944586244,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1890",28635,84773556,0.000337782220672682,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1891",36211,95803305,0.000377972346569881,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1892",27615,77884934,0.000354561512499966,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1893",32678,96134773,0.000339918626530694,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1894",39967,117474272,0.000340219175820898,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1895",44941,132103366,0.000340195722189244,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1896",53472,184716869,0.000289480870315098,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1897",54167,186151976,0.000290982675359836,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1898",49954,190765311,0.000261861025666244,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1899",48116,174067726,0.000276421144261975,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1900",47447,157817705,0.00030064434152049,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1901",64750,220130905,0.000294143159952938,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1902",61653,203375278,0.00030314894025615,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1903",53667,184622139,0.000290685614903422,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1904",54751,179947079,0.000304261676845557,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1905",67288,229861428,0.000292732889486791,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1906",68085,239919689,0.000283782461888736,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1907",71402,242427280,0.000294529559544619,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1908",77940,260267394,0.000299461253298598,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1909",79800,271050587,0.000294409987756271,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1910",63317,232745599,0.000272043812093736,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1911",54073,205365409,0.000263301401454614,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1912",57577,235793703,0.000244183789759644,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1913",55172,233115867,0.000236672006543424,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1914",55463,251142012,0.000220843177763504,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1915",52683,244391868,0.000215567729119367,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
"1916",47662,235160673,0.000202678447003764,"horse+horses","https://huggingface.co/datasets/dell-research-harvard/AmericanStories","Year","American Stories","Anglais","","N-gramme"
